,level_0,Elo_home,Elo_away,home_GF,home_GA,away_GF,away_GA,result
206,105457,62.0,88.0,57,52,43,47,1.0
207,30095,63.0,77.0,32,64,60,43,1.0
208,83280,78.0,82.0,40,43,46,47,0.0
209,23228,64.0,50.0,70,49,47,76,1.0
210,72189,69.0,87.0,31,36,55,20,0.0
211,76607,88.0,63.0,52,28,32,27,0.0
212,23696,67.0,67.0,73,40,80,64,-1.0
213,112855,54.0,50.0,41,43,40,43,0.0
214,12007,73.0,82.0,56,56,78,40,-1.0
215,104653,70.0,91.0,38,50,60,24,-1.0
216,72225,73.0,63.0,41,38,28,37,0.0
217,104478,77.0,82.0,37,57,59,47,0.0
218,111579,58.0,85.0,52,85,63,46,-1.0
219,107013,79.0,85.0,72,37,55,39,-1.0
220,122022,57.0,49.0,54,59,51,33,0.0
221,33462,78.0,79.0,63,47,58,53,0.0
222,4255,65.0,59.0,66,38,62,41,0.0
223,110330,74.0,84.0,49,55,74,51,-1.0
224,88227,93.0,62.0,67,25,34,55,1.0
225,9235,47.0,66.0,50,56,62,46,0.0
226,10910,84.0,84.0,61,43,56,39,1.0
227,113781,48.0,56.0,35,44,41,42,1.0
228,2188,50.0,66.0,39,41,33,40,-1.0
229,59376,87.0,82.0,64,43,47,54,1.0
230,1909,54.0,46.0,47,50,39,103,1.0
231,98848,68.0,53.0,46,57,55,44,-1.0
232,99037,58.0,56.0,42,41,57,57,-1.0
233,36858,72.0,83.0,33,51,49,32,0.0
234,32711,69.0,78.0,44,53,53,46,-1.0
235,35212,74.0,75.0,34,48,33,40,1.0
236,14351,85.0,74.0,59,48,55,54,1.0
237,104503,76.0,88.0,34,47,58,35,0.0
238,81895,96.0,84.0,72,54,48,68,1.0
239,24198,49.0,52.0,53,61,45,65,1.0
240,45145,77.0,66.0,34,42,39,42,-1.0
241,38049,80.0,89.0,45,45,69,38,1.0
242,9112,55.0,61.0,37,56,45,53,1.0
243,21951,62.0,55.0,73,68,63,67,-1.0
244,20923,58.0,53.0,56,56,47,62,0.0
245,33452,66.0,71.0,35,54,42,54,0.0
246,69125,90.0,66.0,84,20,38,56,1.0
247,22040,58.0,56.0,58,49,63,64,1.0
248,86070,70.0,73.0,35,62,35,64,1.0
249,35772,71.0,81.0,29,48,54,29,1.0
250,84962,74.0,74.0,46,52,54,50,-1.0
251,93270,41.0,54.0,34,63,45,41,1.0
252,38600,79.0,76.0,48,38,38,44,1.0
253,59599,82.0,77.0,44,50,44,44,-1.0
254,92095,48.0,61.0,35,82,52,50,0.0
255,42206,60.0,62.0,38,63,40,61,0.0
256,65077,78.0,79.0,42,52,41,55,-1.0
257,62099,67.0,63.0,36,59,20,89,1.0
258,14968,86.0,85.0,79,37,47,31,0.0
259,3098,42.0,65.0,47,39,34,57,1.0
260,40896,79.0,73.0,33,52,47,34,-1.0
261,50667,60.0,51.0,35,40,37,43,0.0
262,45003,95.0,76.0,105,35,55,52,1.0
263,55171,81.0,87.0,44,42,54,38,0.0
264,104360,84.0,89.0,18,65,53,32,-1.0
265,24647,68.0,70.0,50,52,75,36,-1.0
266,33872,88.0,70.0,98,26,39,41,1.0
267,14256,75.0,92.0,57,39,70,39,1.0
268,33222,59.0,76.0,32,73,54,53,-1.0
269,117942,64.0,49.0,46,39,63,38,0.0
270,95703,60.0,41.0,47,42,42,81,1.0
271,66862,89.0,95.0,56,48,85,33,1.0
272,27406,71.0,71.0,40,56,27,52,-1.0
273,79384,67.0,81.0,33,53,45,53,-1.0
274,56578,73.0,85.0,35,58,54,59,0.0
275,107092,72.0,80.0,52,56,72,37,-1.0
276,2729,61.0,40.0,45,56,33,67,1.0
277,29541,73.0,76.0,47,54,42,52,-1.0
278,2342,66.0,50.0,33,40,39,41,-1.0
279,52077,59.0,50.0,56,44,63,56,-1.0
280,19198,94.0,73.0,100,32,45,63,1.0
281,4631,63.0,64.0,68,45,58,51,0.0
282,94220,46.0,54.0,46,56,52,47,-1.0
283,21002,61.0,58.0,58,41,70,53,0.0
284,58415,80.0,74.0,44,56,51,41,0.0
