,index,link,Elo_home,Elo_away,home_GF,home_GA,away_GF,away_GA,result
85,85,https://www.besoccer.com/match/osasuna/alaves/202221085,75,59,37,51,31,65,1.0
86,86,https://www.besoccer.com/match/espanyol/celta/202221083,78,80,40,53,43,43,1.0
87,87,https://www.besoccer.com/match/elche/real-sociedad/202221096,72,85,40,52,40,37,-1.0
88,88,https://www.besoccer.com/match/levante/barcelona/202221084,75,97,51,76,68,38,-1.0
89,89,https://www.besoccer.com/match/rayo-vallecano/valencia-cf/202221088,71,84,39,50,48,53,0.0
90,90,https://www.besoccer.com/match/guingamp/toulouse-fc/202217078,59,62,52,48,82,33,-1.0
91,91,https://www.besoccer.com/match/ajaccio/pau/202217074,64,50,39,19,41,49,1.0
92,92,https://www.besoccer.com/match/amiens-sc/bastia/202217075,55,43,43,41,38,36,0.0
93,93,https://www.besoccer.com/match/auxerre/valenciennes-afc/202217076,57,56,61,39,34,47,1.0
94,94,https://www.besoccer.com/match/grenoble-foot-38/caen/202217077,52,59,32,44,51,42,-1.0
95,95,https://www.besoccer.com/match/havre-ac/dunkerque/202217079,57,52,38,41,28,53,1.0
96,96,https://www.besoccer.com/match/chamois-niortais/nimes-olympique/202217080,53,55,39,42,44,51,0.0
97,97,https://www.besoccer.com/match/quevilly/rodez/202217082,42,47,33,50,32,42,1.0
98,98,https://www.besoccer.com/match/sochaux/nancy/202217083,59,57,47,34,32,69,1.0
99,99,https://www.besoccer.com/match/paris-sg/dijon-fco/202217081,56,60,54,35,48,53,0.0
100,100,https://www.besoccer.com/match/norwich-city-fc/chelsea-fc/20225642,64,94,23,84,76,33,-1.0
101,101,https://www.besoccer.com/match/wolverhampton/leeds-united-afc/20225645,58,58,38,43,42,79,-1.0
102,102,https://www.besoccer.com/match/aston-villa-fc/arsenal/20225636,63,92,52,54,61,48,-1.0
103,103,https://www.besoccer.com/match/leicester-city-fc/brentford/20225638,79,52,62,59,48,56,1.0
104,104,https://www.besoccer.com/match/tottenham-hotspur-fc/west-ham-united/20225643,89,79,69,40,60,51,1.0
105,105,https://www.besoccer.com/match/liverpool/manchester-united-fc/20225639,91,92,94,26,57,57,1.0
106,106,https://www.besoccer.com/match/newcastle-united-fc/crystal-palace-fc/20225641,70,73,44,62,50,46,1.0
107,107,https://www.besoccer.com/match/manchester-city-fc/brighton-amp-hov/20225640,94,62,99,26,42,44,1.0
108,108,https://www.besoccer.com/match/burnley-fc/southampton-fc/20225637,70,82,34,53,43,67,1.0
109,109,https://www.besoccer.com/match/watford-fc/everton-fc/20225644,69,83,34,77,43,66,0.0
110,110,https://www.besoccer.com/match/go-ahead-eagles/willem-ii/20222580,60,62,37,51,32,57,1.0
111,111,https://www.besoccer.com/match/fc-utrecht/fortuna-sittard/20222579,77,45,51,46,36,67,0.0
